Capital,Word,Numeric,Special,FullPassword
P,hyper,2019,$,Phyper2019$
A,hackerman,000,$,Ahackerman000$
A,hyper,2018,!,Ahyper2018!
P,leet,777,!,Pleet777!
A,hyper,123,!,Ahyper123!
T,hackerman,101,!,Thackerman101!
T,leet,1234,_,Tleet1234_
E,cafe,111,!,Ecafe111!
T,bingo,123,!,Tbingo123!
T,hyper,101,_,Thyper101_
T,hyper,1234,!,Thyper1234!
T,hyper,777,*,Thyper777*
E,babe,2019,$,Ebabe2019$
E,ninja,111,*,Eninja111*
T,babe,1234,*,Tbabe1234*
E,hyper,2018,%,Ehyper2018%
P,ninja,1234,!,Pninja1234!
E,hyper,2019,%,Ehyper2019%
A,babe,111,@,Ababe111@
P,bingo,2019,!,Pbingo2019!
P,hyper,2019,*,Phyper2019*
A,hackerman,000,!,Ahackerman000!
E,babe,1,!,Ebabe1!
E,hyper,123,!,Ehyper123!
A,leet,123,!,Aleet123!
A,ninja,777,*,Aninja777*
A,leet,10,%,Aleet10%
P,ninja,123,!,Pninja123!
A,ninja,2019,!,Aninja2019!
T,ninja,123,@,Tninja123@
E,hackerman,000,$,Ehackerman000$
A,babe,777,$,Ababe777$
T,ninja,2019,%,Tninja2019%
A,ninja,10,@,Aninja10@
T,ninja,777,$,Tninja777$
P,ninja,123,!,Pninja123!
P,leet,123,!,Pleet123!
T,ninja,101,$,Tninja101$
E,hackerman,10,!,Ehackerman10!
P,hyper,1234,!,Phyper1234!
P,leet,123,$,Pleet123$
P,hyper,2,@,Phyper2@
P,ninja,123,!,Pninja123!
A,leet,111,!,Aleet111!
T,cafe,10,*,Tcafe10*
P,cafe,2019,@,Pcafe2019@
A,ninja,123,_,Aninja123_
A,leet,123,!,Aleet123!
A,ninja,2019,_,Aninja2019_
P,leet,101,!,Pleet101!
T,hyper,111,!,Thyper111!
P,cafe,10,$,Pcafe10$
P,hackerman,2019,$,Phackerman2019$
E,hyper,000,%,Ehyper000%
E,leet,777,$,Eleet777$
T,hackerman,2019,!,Thackerman2019!
A,bingo,123,%,Abingo123%
A,ninja,777,@,Aninja777@
T,bingo,777,@,Tbingo777@
E,babe,1234,%,Ebabe1234%
A,ninja,101,_,Aninja101_
P,hackerman,123,%,Phackerman123%
A,leet,2019,_,Aleet2019_
E,hackerman,123,*,Ehackerman123*
P,leet,1234,*,Pleet1234*
E,hackerman,000,%,Ehackerman000%
P,babe,123,!,Pbabe123!
E,babe,2018,$,Ebabe2018$
E,hackerman,123,!,Ehackerman123!
A,leet,2019,@,Aleet2019@
T,leet,2018,*,Tleet2018*
A,bingo,1,!,Abingo1!
A,hyper,111,_,Ahyper111_
P,leet,777,%,Pleet777%
A,bingo,2019,%,Abingo2019%
T,bingo,2,$,Tbingo2$
P,cafe,1,*,Pcafe1*
P,ninja,10,*,Pninja10*
A,babe,777,!,Ababe777!
A,ninja,777,!,Aninja777!
A,babe,2019,@,Ababe2019@
P,bingo,101,!,Pbingo101!
P,babe,1234,%,Pbabe1234%
A,pass,1,%,Apass1%
P,cafe,111,!,Pcafe111!
A,babe,123,@,Ababe123@
A,bingo,2019,$,Abingo2019$
T,ninja,777,!,Tninja777!
A,ninja,2018,!,Aninja2018!
T,ninja,2019,$,Tninja2019$
A,leet,2019,!,Aleet2019!
A,cafe,2,$,Acafe2$
A,leet,2019,!,Aleet2019!
A,babe,777,!,Ababe777!
P,babe,2,!,Pbabe2!
E,hackerman,1234,*,Ehackerman1234*
A,babe,101,$,Ababe101$
A,leet,777,$,Aleet777$
A,bingo,2018,*,Abingo2018*
A,leet,2019,$,Aleet2019$
T,babe,2019,$,Tbabe2019$
T,hyper,10,!,Thyper10!
A,pass,777,*,Apass777*
T,hyper,2019,!,Thyper2019!
P,cafe,1234,!,Pcafe1234!
T,leet,123,!,Tleet123!
P,bingo,111,*,Pbingo111*
A,leet,777,@,Aleet777@
A,ninja,2019,%,Aninja2019%
E,leet,10,%,Eleet10%
A,bingo,2018,$,Abingo2018$
A,hackerman,2019,!,Ahackerman2019!
T,bingo,123,!,Tbingo123!
T,babe,2018,!,Tbabe2018!
A,hackerman,777,%,Ahackerman777%
T,ninja,123,$,Tninja123$
A,bingo,2019,%,Abingo2019%
A,leet,111,!,Aleet111!
T,bingo,123,*,Tbingo123*
A,bingo,777,!,Abingo777!
P,cafe,111,$,Pcafe111$
T,ninja,101,!,Tninja101!
A,babe,2019,!,Ababe2019!
A,pass,1,!,Apass1!
P,bingo,777,@,Pbingo777@
P,babe,1234,!,Pbabe1234!
P,babe,2019,*,Pbabe2019*
A,babe,2018,$,Ababe2018$
A,cafe,2018,!,Acafe2018!
A,leet,111,_,Aleet111_
A,hyper,123,@,Ahyper123@
A,bingo,123,!,Abingo123!
T,hackerman,2019,_,Thackerman2019_
A,ninja,111,*,Aninja111*
T,babe,777,!,Tbabe777!
P,bingo,101,*,Pbingo101*
E,pass,2019,@,Epass2019@
P,ninja,2019,!,Pninja2019!
A,hyper,2019,*,Ahyper2019*
A,hackerman,101,!,Ahackerman101!
P,ninja,2,$,Pninja2$
P,babe,123,!,Pbabe123!
A,leet,2019,!,Aleet2019!
A,cafe,1234,_,Acafe1234_
A,hackerman,123,$,Ahackerman123$
T,hyper,10,!,Thyper10!
P,pass,123,@,Ppass123@
P,leet,2019,@,Pleet2019@
E,babe,123,!,Ebabe123!
E,pass,2018,!,Epass2018!
P,bingo,1234,!,Pbingo1234!
A,ninja,111,!,Aninja111!
A,leet,2018,%,Aleet2018%
A,bingo,2,%,Abingo2%
T,babe,1234,$,Tbabe1234$
A,hyper,2019,!,Ahyper2019!
E,babe,123,%,Ebabe123%
E,hackerman,2019,%,Ehackerman2019%
T,hyper,1,%,Thyper1%
A,babe,10,%,Ababe10%
E,ninja,123,$,Eninja123$
P,babe,2018,!,Pbabe2018!
T,leet,1,!,Tleet1!
P,bingo,101,@,Pbingo101@
A,leet,2019,!,Aleet2019!
E,leet,1234,%,Eleet1234%
T,hyper,2019,%,Thyper2019%
A,ninja,1234,!,Aninja1234!
E,hyper,123,!,Ehyper123!
A,bingo,2019,@,Abingo2019@
T,babe,2,*,Tbabe2*
A,leet,1,$,Aleet1$
A,leet,123,!,Aleet123!
P,pass,2019,_,Ppass2019_
A,ninja,123,*,Aninja123*
T,babe,123,!,Tbabe123!
E,leet,10,!,Eleet10!
A,babe,123,$,Ababe123$
A,leet,2019,*,Aleet2019*
A,bingo,1,%,Abingo1%
P,leet,10,!,Pleet10!
A,pass,777,!,Apass777!
A,ninja,123,*,Aninja123*
T,ninja,2019,@,Tninja2019@
A,hyper,123,!,Ahyper123!
A,ninja,777,!,Aninja777!
P,hyper,1,$,Phyper1$
A,cafe,000,*,Acafe000*
T,bingo,2019,!,Tbingo2019!
A,leet,2019,!,Aleet2019!
E,bingo,000,!,Ebingo000!
E,pass,2019,!,Epass2019!
E,bingo,101,%,Ebingo101%
E,babe,1234,%,Ebabe1234%
T,babe,101,@,Tbabe101@
T,leet,777,$,Tleet777$
T,hackerman,123,*,Thackerman123*
T,bingo,2019,_,Tbingo2019_
P,babe,2,_,Pbabe2_
T,pass,10,_,Tpass10_
E,cafe,123,!,Ecafe123!
T,leet,1234,%,Tleet1234%
P,bingo,1234,!,Pbingo1234!
P,cafe,1234,$,Pcafe1234$
T,hackerman,123,%,Thackerman123%
P,hyper,10,@,Phyper10@
A,hackerman,1234,@,Ahackerman1234@
P,leet,2018,@,Pleet2018@
P,babe,2019,*,Pbabe2019*
P,pass,101,*,Ppass101*
A,hackerman,2,!,Ahackerman2!
A,leet,111,!,Aleet111!
E,ninja,1234,$,Eninja1234$
E,hackerman,2019,$,Ehackerman2019$
E,ninja,10,$,Eninja10$
P,ninja,2018,!,Pninja2018!
T,leet,10,@,Tleet10@
A,leet,123,!,Aleet123!
A,hyper,777,!,Ahyper777!
P,cafe,123,*,Pcafe123*
A,cafe,10,%,Acafe10%
A,babe,101,_,Ababe101_
